,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
HEK (R23),0.4309,0.8895,0.548,,,,,0.0466,,,,0.0323,,,,,0.5008,,0.5708,,,,,,0.0249,,0.7047,,,,,,0.1348,,,,,,0.0039,0.002,0.0019,0.0008,,0.0593,,,,0.0127,,,,,0.0078,0.0719,,,0.0008,,,,,0.0151
HEK (R24),0.5976,0.9707,0.4983,,,,,0.0557,,,,0.0495,,,,,0.3967,,0.6192,,,,,,0.0275,,0.6818,,,,,,0.1977,0.0005,,,,,,0.002,0.002,0.0011,,0.0892,,,,,,0.0183,,,0.0123,0.0961,,,0.0011,,,,,0.0248
HEK (R25),0.4122,0.7975,0.4129,,,,,0.0343,,,,0.035,,,,,0.2861,,0.6482,,,,,,0.0279,,0.5871,,,,,,0.1331,,,,,,,,0.0015,0.0014,,0.0602,,,,,,0.0043,,,0.0058,0.0717,,,,,,,,0.0183
HeLa (R1),0.2174,0.544,0.3564,,,,,0.0239,,,,0.0118,,,,,0.5032,,0.5552,,,,,,0.0194,,0.6427,0.003,0.0024,,,,0.0592,,,0.0016,,,,,,,,0.0246,,,,0.0072,,0.0017,,,,0.0325,,,,,,,,0.0005
HeLa (R2),0.2249,0.5296,0.3666,,,,0.0003,0.0183,0.0131,,0.0004,0.0127,,,,,0.5029,,0.5677,,,,,,0.0191,,0.6578,0.003,,,,,0.06,,,,,,0.0002,,,,,0.0264,,,,0.0064,,0.002,,,,0.0307,,,,,,,,
HeLa (R3),0.2228,0.5467,0.3633,,,,,0.0191,0.0117,,,0.0139,,,,,0.5079,,0.5581,,,,,,0.0197,,0.6583,0.0041,,,,,0.0673,,0.0022,,,,,,,,,0.0273,,,,0.0075,,0.0031,,,,0.0332,,,,,,,,
HeLa (R4),0.2193,0.5519,0.3543,,,,,0.02,0.0023,,,0.0121,,,,,0.5053,,0.5604,,,,0.0005,,0.0193,,0.6616,0.0032,,,,,0.0616,,0.0138,,,,0.0005,,,,,0.0261,,,,0.0071,,0.0022,,,,0.0316,,,,,,,,
HeLa (R5),0.224,0.5219,0.3706,,,,,0.0162,0.0041,,,0.0107,,,,,0.5073,,0.5702,,,,,,0.0203,,0.6555,0.0033,0.0029,,,,0.0609,,0.0176,,,,,,,,,0.0256,,0.0011,,0.0058,,,,,,0.0293,,,,,,,,
HeLa (R6),0.2141,0.5478,0.3624,,,,,0.0199,0.0096,,,0.0138,,,,,0.5085,,0.5569,,,,,,0.0205,,0.6556,0.0044,0.0044,,,,0.0601,,,,,,0.0007,,,,,0.0277,,,,0.01,,0.0012,,,,0.0315,,,0.0002,,,,,
HeLa (R7),0.2245,0.5135,0.3709,,,,,0.015,0.0044,,,0.0136,,,,,0.4877,,0.5641,,,,,,0.0178,,0.644,0.0028,0.0027,,,,0.0564,,,,,,,,,,,0.0276,,,,0.0064,0.0004,0.0016,,,,0.031,,,,,,,,
